city,mean_2024,std_2024,sem_2024,count_2024,mean_2025,std_2025,sem_2025,count_2025
Orland Park,403040.74042289157,122928.84211751423,9484.16607284677,168,402758.58527580736,2636.3468754988107,761.0477891232337,12
Palatine,360441.5792761042,149605.17909954666,10796.82380316068,192,361966.5809676358,862.8220078769949,249.07525925525823,12
Park Forest,136580.59676178772,36564.58776365788,3989.523599567103,84,137969.88889936756,2156.3462649566977,622.4835482693968,12
Prospect Heights,357481.0349504363,190844.51254711483,19477.986497942224,96,356540.4781874965,1764.8169358929752,509.4587665041099,12
Richton Park,200939.6633311045,80919.33575274407,8829.02336363086,84,202362.39154002257,331.1188313606763,95.58577320992039,12
Rolling Meadows,309509.20095266047,116922.47067031,11933.349691991305,96,308680.7714794698,10.810537244011632,3.120733293957296,12
Romeoville,300322.5834779356,44304.06587814915,4833.969892403064,84,305577.3796527758,282.1975538833947,81.46341684961592,12
Roselle,349053.28628405463,129964.02771603271,13264.398034217118,96,350018.9010472524,35.02331893106946,10.110361306383535,12
Schaumburg,350693.5098207525,154224.86163072323,8267.320366896141,348,352908.98768682894,154.3835881520972,44.56670308903682,12
Schererville,341219.5812330671,85484.46012662804,9327.119268397793,84,340931.45826716657,73.56664176519152,21.236860213255046,12
Steger,159236.94661522668,31290.410890242118,4039.574675796497,60,159917.33982942408,1806.7076231999376,521.5515663007166,12
Streamwood,288608.46075650485,62358.491255500754,6364.436862740984,96,292600.86578782805,1187.8973282245734,342.91642111004734,12
Thornton,167987.7139691739,15426.359088959356,2139.2511034216504,52,170943.18729876317,239.81493389557198,69.2286083201504,12
Tinley Park,339928.71135815966,89661.00686690913,6917.496860269102,168,341756.23891764163,2315.669280077029,668.4761411033098,12
Vernon Hills,444565.22522210365,190366.23749135222,20770.65935876338,84,441910.0731012807,910.0268832145074,262.702132996846,12
Warrenville,363733.92015518557,121534.40236083881,13260.490437137229,84,364674.97306315607,3950.858913811293,1140.5147287095913,12
Wheaton,445326.9098787915,177510.3445046077,13267.746080922954,179,445664.43550041673,2177.644568946437,628.6318390402761,12
Wheeling,295670.27463372756,92185.067664314,9408.599070062934,96,297039.20514268574,4407.877465196869,1272.4446205431489,12
Winfield,421036.4595819513,127807.56793059665,13944.94891500404,84,422039.3582267708,3842.747546211906,1109.305665116609,12
Woodridge,340333.7629248549,142832.90027636063,14577.821839954915,96,341917.1601250721,5799.615096370591,1674.2046685428893,12
